ticker;variant;status;path
PFBCOLOM.CL;PFBCOLOM.CL;HTTP_404;
PFBCOLOM.CL;PFBCOLOM;HTTP_404;
PFBCOLOM.CL;PFBCOLOM-CL;HTTP_404;
PFBCOLOM.CL;PFBCOLOMCL;HTTP_404;
PFBCOLOM.CL;pfbcolom.cl;HTTP_404;
PFBCOLOM.CL;pfbcolom;HTTP_404;
PFBCOLOM.CL;pfbcolom-cl;HTTP_404;
PFBCOLOM.CL;pfbcolomcl;HTTP_404;
BCOLOMBIA.CL;BCOLOMBIA.CL;HTTP_404;
BCOLOMBIA.CL;BCOLOMBIA;HTTP_404;
BCOLOMBIA.CL;BCOLOMBIA-CL;HTTP_404;
BCOLOMBIA.CL;BCOLOMBIACL;HTTP_404;
BCOLOMBIA.CL;bcolombia.cl;HTTP_404;
BCOLOMBIA.CL;bcolombia;HTTP_404;
BCOLOMBIA.CL;bcolombia-cl;HTTP_404;
BCOLOMBIA.CL;bcolombiacl;HTTP_404;
AVAL.CL;AVAL.CL;HTTP_404;
AVAL.CL;AVAL;found;data/raw\AVAL_2021-03-12_2026-03-11.csv
